osm_id,nom,type,operateur,ville,region_osm,longitude,latitude,categorie
7150535166,OSM_7150535166,clinic,NA,NA,NA,11.45818,3.87638,Centre/Clinique
7150537195,OSM_7150537195,clinic,NA,NA,NA,11.46395,3.88541,Centre/Clinique
7150538129,OSM_7150538129,clinic,NA,NA,NA,11.45456,3.88579,Centre/Clinique
7150538138,Florence Nightingale,clinic,NA,NA,NA,11.45146,3.88392,Centre/Clinique
7150547404,OSM_7150547404,clinic,NA,NA,NA,11.45582,3.87288,Centre/Clinique
7150547441,OSM_7150547441,clinic,NA,NA,NA,11.4433,3.88373,Centre/Clinique
7150561640,OSM_7150561640,clinic,NA,NA,NA,11.42735,3.87486,Centre/Clinique
7150561766,OSM_7150561766,clinic,NA,NA,NA,11.41517,3.87549,Centre/Clinique
7150565131,OSM_7150565131,clinic,NA,NA,NA,11.46326,3.88273,Centre/Clinique
7150566394,OSM_7150566394,clinic,NA,NA,NA,11.4646,3.88444,Centre/Clinique
7150567977,OSM_7150567977,clinic,NA,NA,NA,11.46894,3.88642,Centre/Clinique
7150568339,OSM_7150568339,clinic,NA,NA,NA,11.46906,3.88436,Centre/Clinique
7150568950,OSM_7150568950,clinic,NA,NA,NA,11.46888,3.88647,Centre/Clinique
7150570792,OSM_7150570792,clinic,NA,NA,NA,11.4623,3.88601,Centre/Clinique
7150572093,OSM_7150572093,clinic,NA,NA,NA,11.46549,3.88549,Centre/Clinique
7150572143,OSM_7150572143,clinic,NA,NA,NA,11.46093,3.88086,Centre/Clinique
7150573650,OSM_7150573650,clinic,NA,NA,NA,11.45839,3.87922,Centre/Clinique
7150573780,District De Santé De Nkolbisson,clinic,NA,NA,NA,11.44582,3.87642,Centre/Clinique
7150574373,OSM_7150574373,clinic,NA,NA,NA,11.45963,3.88537,Centre/Clinique
7150575397,OSM_7150575397,clinic,NA,NA,NA,11.45501,3.88275,Centre/Clinique
7150575524,OSM_7150575524,clinic,NA,NA,NA,11.46148,3.87798,Centre/Clinique
7150578677,OSM_7150578677,clinic,NA,NA,NA,11.43592,3.87889,Centre/Clinique
