r,obs,theo,lo,hi,fonction,nsim
32152.728232330235,0.921311475409836,0.9473597589083251,0.897887323943662,0.9777777777777777,G,39
32570.296131451407,0.9238410596026491,0.9512595335527597,0.9068100358422939,0.977491961414791,G,39
32987.86403057258,0.9233333333333333,0.9549151985919975,0.9169675090252708,0.9774193548387097,G,39
33405.43192969375,0.9261744966442953,0.9583380772335289,0.9239130434782609,0.9803921568627451,G,39
33822.99982881492,0.9326599326599326,0.9615393051205742,0.9236363636363636,0.9819277108433735,G,39
34240.5677279361,0.9319727891156463,0.964529802061457,0.9298892988929889,0.9848942598187311,G,39
34658.135627057265,0.935374149659864,0.9673202469468392,0.9291044776119403,0.9878419452887538,G,39
35075.70352617844,0.9387755102040817,0.969921055753481,0.9358490566037736,0.9878048780487805,G,39
35493.27142529961,0.9379310344827586,0.9723423625204297,0.9420289855072463,0.9908256880733946,G,39
35910.839324420784,0.9479166666666666,0.9745940031726362,0.9456521739130435,0.99079754601227,G,39
36328.40722354195,0.9471830985915493,0.9766855020579046,0.9452554744525548,0.9907120743034056,G,39
36745.97512266313,0.9540636042402827,0.9786260610557325,0.9487179487179487,0.9933774834437086,G,39
37163.543021784295,0.9540636042402827,0.9804245511109168,0.9628252788104089,0.9966777408637874,G,39
37581.11092090547,0.9575971731448764,0.9820895060407003,0.96484375,0.9966329966329966,G,39
37998.67882002664,0.9572953736654805,0.9836291184616216,0.9662921348314607,0.9966101694915255,G,39
38416.24671914781,0.9642857142857143,0.9850512376810038,0.9659090909090909,0.9965753424657534,G,39
38833.81461826898,0.96415770609319,0.9863633693980722,0.9693486590038314,0.996969696969697,G,39
39251.38251739016,0.96415770609319,0.9875726770609197,0.973384030418251,0.996969696969697,G,39
39668.950416511325,0.967741935483871,0.9886859847278211,0.9755244755244755,1,G,39
40086.5183156325,0.9713261648745519,0.9897097812846459,0.9753521126760564,1,G,39
40504.086214753675,0.9713261648745519,0.9906502258741858,0.975177304964539,1,G,39
40921.65411387484,0.9711191335740073,0.9915131543980341,0.9765625,1,G,39
41339.22201299602,0.9746376811594203,0.9923040869570795,0.9762845849802372,1,G,39
41756.78991211719,0.9746376811594203,0.993028236102639,0.9761904761904762,1,G,39
42174.35781123836,0.9782608695652174,0.9936905157766341,0.9761904761904762,1,G,39
42591.92571035953,0.9853479853479854,0.9942955508259254,0.9761904761904762,1,G,39
43009.493609480705,0.9853479853479854,0.9948476869828781,0.9760956175298805,1,G,39
43427.06150860187,0.9853479853479854,0.9953510012113458,0.9840637450199203,1,G,39
43844.62940772305,0.9852941176470589,0.9958093123244631,0.9840637450199203,1,G,39
44262.19730684422,0.9852941176470589,0.9962261917878563,0.984,1,G,39
44679.76520596539,0.9852941176470589,0.9966049746290525,0.9839357429718876,1,G,39
45097.33310508656,0.9851301115241635,0.9969487703809384,0.9838709677419355,1,G,39
45514.901004207735,0.9851301115241635,0.9972604739940353,0.9838709677419355,1,G,39
45932.4689033289,0.9851301115241635,0.9975427766590769,0.9838709677419355,1,G,39
46350.03680245008,0.9849056603773585,0.9977981764878651,0.9838056680161943,1,G,39
46767.604701571254,0.9848484848484849,0.9980289890065985,0.983739837398374,1,G,39
47185.17260069242,0.9847908745247148,0.9982373574218023,0.983739837398374,1,G,39
47602.7404998136,0.9846743295019157,0.998425262624604,0.9835390946502057,1,G,39
48020.308398934765,0.9846743295019157,0.9985945329043996,0.9834710743801653,1,G,39
48437.87629805594,0.9845559845559846,0.9987468533479046,0.9834710743801653,1,G,39
48855.44419717711,0.9883720930232558,0.9988837749042027,0.9834710743801653,1,G,39
49273.012096298284,0.98828125,0.9990067231006696,0.9873949579831933,1,G,39
49690.57999541945,0.98828125,0.9991170063985724,0.9873417721518988,1,G,39
50108.14789454063,0.9881422924901185,0.9992158241807255,0.9872340425531915,1,G,39
50525.715793661795,0.9920948616600791,0.999304274366834,0.9871794871794872,1,G,39
50943.28369278297,0.9920318725099602,0.9993833606550738,0.987012987012987,1,G,39
51360.85159190414,0.9920318725099602,0.9994539993910714,0.9956331877729258,1,G,39
51778.41949102531,0.9920318725099602,0.9995170260677518,0.9956331877729258,1,G,39
52195.98739014648,0.992,0.9995732014615477,0.995575221238938,1,G,39
52613.55528926766,0.9919678714859438,0.9996232174122122,0.9955555555555555,1,G,39
53031.123188388825,0.9919678714859438,0.9996677022549777,0.9955156950672646,1,G,39
53448.69108751,0.9919028340080972,0.9997072259150599,0.9954954954954955,1,G,39
53866.258986631176,0.9919028340080972,0.999742304675544,0.995475113122172,1,G,39
54283.82688575234,0.9919028340080972,0.9997734056305283,0.9954128440366973,1,G,39
54701.39478487352,0.991869918699187,0.9998009508360403,0.9957805907172996,1,G,39
55118.96268399469,0.991869918699187,0.9998253211717252,0.9957627118644068,1,G,39
55536.53058311586,0.991869918699187,0.9998468599266246,0.9957627118644068,1,G,39
55954.09848223703,0.991869918699187,0.9998658761225494,0.9957446808510638,1,G,39
56371.666381358205,0.991869918699187,0.9998826475886142,0.9957446808510638,1,G,39
56789.23428047937,0.991869918699187,0.9998974238004522,0.9957081545064378,1,G,39
57206.80217960055,0.991869918699187,0.9999104284974886,0.9956896551724138,1,G,39
57624.37007872172,0.991869918699187,0.9999218620914291,0.9956521739130435,1,G,39
58041.93797784289,0.9918032786885246,0.9999319038788241,0.9956140350877193,1,G,39
58459.50587696406,0.9917695473251029,0.9999407140702202,0.9956140350877193,1,G,39
58877.073776085235,0.9917695473251029,0.9999484356480091,0.9955947136563876,1,G,39
59294.6416752064,0.9917695473251029,0.9999551960646459,0.9961538461538462,1,G,39
59712.20957432758,0.9917695473251029,0.9999611087924406,0.9961389961389961,1,G,39
60129.77747344875,0.991701244813278,0.9999662747356333,0.9961240310077519,1,G,39
60547.34537256992,0.9957983193277311,0.9999707835149586,0.9961240310077519,1,G,39
60964.9132716911,0.9957983193277311,0.9999747146343895,0.996078431372549,1,G,39
61382.481170812265,0.9957805907172996,0.9999781385392291,0.9960629921259843,1,G,39
61800.04906993344,0.9957081545064378,0.9999811175742034,0.9960474308300395,1,G,39
62217.61696905461,0.9956709956709957,0.9999837068496907,0.996,1,G,39
62635.184868175784,0.9956709956709957,0.9999859550237259,0.9959677419354839,1,G,39
63052.75276729695,0.9956709956709957,0.999987905006918,1,1,G,39
63470.32066641813,0.9956521739130435,0.9999895945969478,1,1,G,39
63887.888565539295,0.9956521739130435,0.9999910570488453,1,1,G,39
0,0,0,0,0,K,39
416.6666666666667,72502950.36885963,545415.391248228,0,9797801.056467881,K,39
833.3333333333334,181257375.92214906,2181661.564992912,0,12170032.475943673,K,39
1250,429838920.04395354,4908738.521234051,0,27970833.66466968,K,39
1666.6666666666667,766459761.0422304,8726646.259971648,0,27970833.66466968,K,39
2083.3333333333335,1100441653.231798,13635384.7812057,0,33300125.0788094,K,39
2500,1556036404.8107638,19634954.084936205,0,43108367.21545774,K,39
2916.666666666667,2048958896.060749,26725354.171163175,0,52688004.374448344,K,39
3333.3333333333335,2600118561.9526243,34906585.039886594,5179809.705348943,65780035.90149815,K,39
3750,3093540401.2670665,44178646.69110647,15539429.11604683,82849557.94499281,K,39
4166.666666666667,3472763804.9164715,54541539.1248228,22705466.586260926,96905125.89071518,K,39
