NAME_1,sexe,tranche_age,ordre_tranche,effectif
Sud,Hommes,35_39,8,31770
Sud,Hommes,40_44,9,25444
Sud,Hommes,45_49,10,21704
Sud,Hommes,50_54,11,17148
Sud,Hommes,55_59,12,13254
Sud,Hommes,60_64,13,10479
Sud,Hommes,65_69,14,8268
Sud,Hommes,70_74,15,5046
Sud,Hommes,75_79,16,2675
Sud,Hommes,80Plus,17,2144
Sud-Ouest,Femmes,00_04,1,128247
Sud-Ouest,Femmes,05_09,2,118927
Sud-Ouest,Femmes,10_14,3,112681
Sud-Ouest,Femmes,15_19,4,100215
Sud-Ouest,Femmes,20_24,5,89184
Sud-Ouest,Femmes,25_29,6,86633
Sud-Ouest,Femmes,30_34,7,82226
Sud-Ouest,Femmes,35_39,8,75052
Sud-Ouest,Femmes,40_44,9,70959
Sud-Ouest,Femmes,45_49,10,58731
Sud-Ouest,Femmes,50_54,11,42208
Sud-Ouest,Femmes,55_59,12,30389
Sud-Ouest,Femmes,60_64,13,22676
Sud-Ouest,Femmes,65_69,14,15918
Sud-Ouest,Femmes,70_74,15,10172
Sud-Ouest,Femmes,75_79,16,5478
Sud-Ouest,Femmes,80Plus,17,3898
Sud-Ouest,Hommes,00_04,1,127601
Sud-Ouest,Hommes,05_09,2,117468
Sud-Ouest,Hommes,10_14,3,111048
Sud-Ouest,Hommes,15_19,4,98571
Sud-Ouest,Hommes,20_24,5,90176
Sud-Ouest,Hommes,25_29,6,89104
Sud-Ouest,Hommes,30_34,7,83786
Sud-Ouest,Hommes,35_39,8,75646
Sud-Ouest,Hommes,40_44,9,63684
Sud-Ouest,Hommes,45_49,10,55552
Sud-Ouest,Hommes,50_54,11,44328
Sud-Ouest,Hommes,55_59,12,32288
Sud-Ouest,Hommes,60_64,13,22545
Sud-Ouest,Hommes,65_69,14,15618
Sud-Ouest,Hommes,70_74,15,9203
Sud-Ouest,Hommes,75_79,16,5081
Sud-Ouest,Hommes,80Plus,17,3196
