admin2Pcod,adm2_name,n_menages,n_grappes,insecure_direct,rmse_direct,insecure_fh,rmse_fh,gain_rmse,gain_pct,deplacement,lc_13_urbain_adm2,lc_8_savane_boisee_adm2,statut
BJ0207,Pehunco,36,3,27.17613089385727,10.673610211789661,43.70105763695912,8.15800109633518,2.515609115454481,23.568493373271544,16.52492674310185,0.024874022760512,0.320929770818241,Estimee (direct + Fay-Herriot)
BJ0208,Tanguieta,60,5,60.840393460109674,4.783120814008556,61.77696953399721,4.485491775031624,0.2976290389769316,6.222486333718587,0.9365760738875366,0,3.776435045317e-4,Estimee (direct + Fay-Herriot)
BJ0302,Allada,108,9,84.5306633317777,3.8092302615106046,85.52573286822415,3.6630024818177986,0.14622777969280598,3.8387750189408942,0.9950695364464508,0.9366076703634308,0.0235290311327177,Estimee (direct + Fay-Herriot)
BJ0303,Kpomasse,84,7,78.78849919884068,4.201775149291747,79.61026026924281,3.996132724553142,0.2056424247386044,4.8941796605481755,0.8217610704021325,0.6453787940545845,0.0703315553072476,Estimee (direct + Fay-Herriot)
BJ0304,Ouidah,168,14,62.65996111287101,4.780301974139458,64.9868108687802,4.47724953043843,0.303052443701028,6.339608780794293,2.326849755909187,0.449840262037038,0.117199626590505,Estimee (direct + Fay-Herriot)
BJ0306,Toffo,96,8,78.22903812639554,4.5807310193954685,79.05185103289848,4.320109468990631,0.2606215504048377,5.689518753695183,0.8228129065029464,0.6600874848582652,0.2787228581778911,Estimee (direct + Fay-Herriot)
BJ0308,Ze,120,10,85.9689893163271,4.306096525157357,86.59386553846039,4.092456213498018,0.21364031165933905,4.961345162868406,0.6248762221332953,0.8262958691755669,0.1073448955318265,Estimee (direct + Fay-Herriot)
BJ0401,Bembereke,60,5,74.02481804791141,6.843536386788698,72.45866165492376,6.037763862122162,0.8057725246665361,11.77421261647798,-1.5661563929876507,1.13649278327e-4,0.0463373971159934,Estimee (direct + Fay-Herriot)
BJ0402,Kalale,72,6,51.39504378028364,4.905049205928388,53.421029341092314,4.580215528762945,0.32483367716544276,6.622434628644279,2.025985560808671,0.0161156619764619,0.2345932715787581,Estimee (direct + Fay-Herriot)
BJ0404,Nikki,72,6,46.90464675971452,5.036240019540487,49.81696492496698,4.688981544744507,0.3472584747959795,6.895193109316179,2.912318165252465,1.889644746787e-4,0.0896056637867329,Estimee (direct + Fay-Herriot)
BJ0405,Parakou,212,18,50.23386856807463,5.2191625723867014,52.83547274747585,4.835665731325544,0.38349684106115767,7.347861572470354,2.601604179401221,0,0.0765861769050243,Estimee (direct + Fay-Herriot)
BJ0406,Perere,48,4,61.813102557662866,7.7121708099802815,63.523723507355605,6.609529245006607,1.1026415649736743,14.297421467205464,1.7106209496927391,2.747252747252e-4,0.0088618864391405,Estimee (direct + Fay-Herriot)
BJ0407,Sinende,60,5,45.34024181657159,11.958620149740456,54.92258172850593,8.684577479958994,3.274042669781462,27.378097379006725,9.58233991193434,0.0020600352821305,0.2994522340272385,Estimee (direct + Fay-Herriot)
BJ0408,Tchaourou,119,10,56.24608760787778,5.2486759714722595,57.182518412825374,4.873424239913095,0.3752517315591648,7.149455093031896,0.9364308049475909,0.0558019613313295,0.7263613068168945,Estimee (direct + Fay-Herriot)
BJ0501,Bante,84,7,68.04346299925888,7.458950688063334,65.30625442258001,6.5365761631301735,0.9223745249331605,12.366009154736064,-2.737208576678867,0,0.9907127178915448,Estimee (direct + Fay-Herriot)
BJ0503,Glazoue,96,8,56.04999455041243,7.266837410609021,57.51059229142095,6.335679470835949,0.9311579397730725,12.813799004414959,1.4605977410085202,0,0.6215924651672816,Estimee (direct + Fay-Herriot)
BJ0504,Ouesse,108,9,49.523204795003466,7.676685452215476,52.010301527812935,6.67009788844562,1.0065875637698554,13.112267918693428,2.4870967328094693,8.228313444224e-4,0.9539286958716974,Estimee (direct + Fay-Herriot)
BJ0505,Savalou,144,12,67.54009878670801,3.9870138119362566,66.8819705718344,3.8186350896312593,0.16837872230499729,4.223178806175886,-0.6581282148736136,0.0250922063629981,0.7930613846832696,Estimee (direct + Fay-Herriot)
BJ0506,Save,84,7,44.064120165896355,7.056244908803458,47.78690855132405,6.238784648013923,0.8174602607895345,11.58491905191189,3.722788385427698,0,0.8864645778560624,Estimee (direct + Fay-Herriot)
BJ0601,Aplahoue,204,17,86.25889953248601,3.2122381005326646,86.2193137993842,3.117390166853805,0.09484793367885969,2.9527055812933565,-0.039585733101816345,0.6072926021027473,0.049886264674924,Estimee (direct + Fay-Herriot)
BJ0604,Klouekanme,132,11,95.10145593066825,1.8139371707497913,94.62819183256448,1.796193628431324,0.01774354231846731,0.9781784399474549,-0.473264098103769,0.1722093992146365,0,Estimee (direct + Fay-Herriot)
BJ0605,Lalo,132,11,91.32488752276657,2.8995353623961404,91.33193135459075,2.831383064984188,0.06815229741195239,2.350455810810742,0.007043831824177005,0.7897196779379169,0.0165856411703587,Estimee (direct + Fay-Herriot)
BJ0606,Toviklin,156,13,96.54975887213483,1.5492561313823234,96.33463230231,1.5381929807980557,0.011063150584267767,0.7140943553598638,-0.21512656982483236,0.4994557823129251,0,Estimee (direct + Fay-Herriot)
BJ0701,Bassila,167,14,62.75102079322753,3.814281451873062,62.33510432208431,3.6745346105064103,0.1397468413666516,3.663778961513885,-0.4159164711432197,0,0.9791794385438772,Estimee (direct + Fay-Herriot)
BJ0702,Djougou,323,27,54.89635594131914,2.88568439633273,55.50618187246785,2.815338690215955,0.07034570611677493,2.4377477386707196,0.6098259311487055,0.054729020714601,0.3059006526727478,Estimee (direct + Fay-Herriot)
BJ0704,Ouake,72,6,61.60059549460294,10.77678199330326,64.110175725357,8.221885824285977,2.554896169017283,23.707412570885324,2.509580230754054,0,0.0561978915179531,Estimee (direct + Fay-Herriot)
BJ0800,Cotonou,713,60,57.22935329806624,2.4501079777279373,57.637734487729674,2.4074996806757185,0.0426082970522188,1.7390375215924494,0.4083811896634302,0,0.00843776106934,Estimee (direct + Fay-Herriot)
BJ0901,Athieme,84,7,92.13712532615725,2.043593291728085,92.04190933523033,2.0189824239664387,0.024610867761646116,1.2042938221251889,-0.09521599092691702,0.71047222106388,0.0613924533368639,Estimee (direct + Fay-Herriot)
BJ0902,Bopa,192,16,94.5615435972695,1.8437508179260351,94.51251863048626,1.8260092780715929,0.017741539854442268,0.9622525821791389,-0.04902496678325008,0.8145360922146636,0.0017129629629629,Estimee (direct + Fay-Herriot)
BJ0903,Come,168,14,96.08971209470731,1.7738518343211078,95.72125208636592,1.7571158956005883,0.016735938720519483,0.9434800808447846,-0.3684600083413869,0.3634449740407736,0.0640009948326471,Estimee (direct + Fay-Herriot)
BJ0905,Houeyogbe,216,18,94.57989749698092,1.3900869728983465,94.51268618154322,1.3822895938683073,0.0077973790300391865,0.5609274226764075,-0.06721131543770298,0.7128640934172293,0.0014071294559099,Estimee (direct + Fay-Herriot)
BJ0906,Lokossa,228,19,89.13742966189446,2.1292488258376667,89.19610659217503,2.101817708269375,0.02743111756829153,1.2883002322426955,0.058676930280569195,0.7778291870977763,0.0131759434169975,Estimee (direct + Fay-Herriot)
BJ1002,Adjohoun,95,8,94.42089208346647,2.4130097496782077,93.82600701626549,2.3717295128143503,0.0412802368638574,1.7107364306904445,-0.5948850672009769,0.4578642221479735,0.311641046837067,Estimee (direct + Fay-Herriot)
BJ1005,Avrankou,259,22,86.41448143113521,2.0669092676273855,86.05302251472558,2.0406632141471266,0.02624605348025888,1.269821268467524,-0.36145891640963157,0.3064589847037961,0.3709098072341127,Estimee (direct + Fay-Herriot)
BJ1006,Bonou,72,6,87.29303485372853,5.877111788830439,83.10551013408097,5.367047578276898,0.5100642105535416,8.678824376336147,-4.187524719647556,0.1573693012164007,0.7639099474854921,Estimee (direct + Fay-Herriot)
BJ1007,Dangbo,117,10,94.7597527082676,2.2501339639395375,94.18983878898244,2.216243658947758,0.03389030499177936,1.506146102183364,-0.5699139192851561,0.328621148986798,0.0447492037512695,Estimee (direct + Fay-Herriot)
BJ1102,Ifangni,143,12,69.11821930879925,4.139934753056167,70.2753631550197,3.9424167528831107,0.19751800017305632,4.77104137999386,1.1571438462204497,0.5316692807218975,0.3463870007056939,Estimee (direct + Fay-Herriot)
BJ1103,Ketou,168,14,77.35672905742143,3.2725686250036614,76.13207546353316,3.18054915633927,0.09201946866439137,2.8118422929721882,-1.2246535938882772,0.0025478364070252,0.8923648328209544,Estimee (direct + Fay-Herriot)
BJ1104,Pobe,108,9,75.29262711955225,4.378267233393441,74.07971111860815,4.1517152509565305,0.22655198243691022,5.1744667549979075,-1.2129160009441051,0.1169508589291225,0.6775308831230591,Estimee (direct + Fay-Herriot)
BJ1105,Sakete,192,16,70.41435939317749,3.814101297576114,72.12057126343001,3.663017670431371,0.1510836271447431,3.961185489246385,1.7062118702525169,0.790527721881414,0.1946254513225711,Estimee (direct + Fay-Herriot)
BJ1201,Abomey,72,6,86.9914344287738,2.622945162216134,86.60632307093877,2.5698225570595685,0.05312260515656542,2.025303689981912,-0.38511135783502937,0.3433354526055575,0,Estimee (direct + Fay-Herriot)
BJ1202,Agbangnizoun,60,5,80.2148164762954,10.507203858301132,78.17400921694748,8.081037416019036,2.4261664422820957,23.09050509537152,-2.0408072593479147,0.24953231292517,0,Estimee (direct + Fay-Herriot)
BJ1203,Bohicon,156,13,69.00950102674614,6.559717994623301,68.97853972874643,5.841743004787967,0.7179749898353345,10.945211218284467,-0.030961297999709814,0.0319056464193242,0,Estimee (direct + Fay-Herriot)
BJ1204,Cove,36,3,65.88253272306571,11.763368680585664,67.73880562298945,8.596314236162685,3.1670544444229787,26.923022906269228,1.856272899923738,0.1140552382382476,0.1578189552443451,Estimee (direct + Fay-Herriot)
BJ1205,Djidja,72,6,76.31340954408894,6.48101953603285,76.59755421387358,5.773417213368727,0.7076023226641226,10.918071126464445,0.2841446697846379,0.356151856835728,0.0988668344883074,Estimee (direct + Fay-Herriot)
BJ1206,Ouinhi,48,4,60.10332174468388,11.28499196797615,67.92015500774527,8.40346462733051,2.88152734064564,25.53415499827257,7.816833263061383,0.3346787207980626,0.0841511167988081,Estimee (direct + Fay-Herriot)
BJ1209,Zogbodomey,72,6,69.20751732699004,8.048658895814391,73.54400408037667,6.805428516784137,1.243230379030254,15.446428965660118,4.336486753386623,0.5371559234279601,0.0466804252309804,Estimee (direct + Fay-Herriot)
BJ1003,Aguegues,118,10,95.28548932597086,2.2794149880394667,94.4697949440937,2.2445027277530913,0.034912260286375396,1.5316324789284448,-0.8156943818771509,0.1118854163491729,0.0316176078494107,Estimee (direct + Fay-Herriot)
BJ0201,Boukoumbe,72,6,75.8886466923402,6.891761427871986,73.96846873497213,6.074210303970882,0.8175511239011035,11.862731066033785,-1.9201779573680682,0,0,Estimee (direct + Fay-Herriot)
BJ0209,Toukountouna,36,3,69.35641478406339,6.0740917909445455,68.97633684605489,5.491215702162844,0.5828760887817017,9.596102740012466,-0.38007793800849754,0,0.0476229182996099,Estimee (direct + Fay-Herriot)
