DHSCLUST,Aridity_2015,Rainfall_2015,Malaria_Prevalence_2015,Enhanced_Vegetation_Index_2015,Nightlights_Composite,Travel_Times_2015,Proximity_to_Water,All_Population_Count_2015,Slope,Drought_Episodes,Growing_Season_Length
253,35.37437057495117,1658.2,0.26412762006123863,3595.2,0,215.22371967654988,90567.09206349206,2089.37890625,1.2580322923685985,1,5
254,15.152363777160645,898,0.18187980353832245,2495,0.34669385637555805,5.615384615384615,69382.20535714286,4206.416015625,0.39535852578970104,2,5
255,39.26229476928711,1254,0.2863525450229645,4323,1.156653969974841,100.21428571428572,173486.26785714287,41880.515625,0.40711651529584614,-9999,-807
256,42.581581115722656,1985,0.05378256365656853,3735,0,2.357142857142857,218159.79545454544,1487.9869384765625,1.4101058415004186,2,4
257,44.97222137451172,1429,0.31525090762547087,3861.555555555556,0,110.61035422343323,111851.9873015873,2249.525390625,1.004487580759324,-9999,-801
258,50.90056610107422,1771,0.2398003935813904,3040,1.611447488107989,31.428571428571427,10653.712239583334,47327.5078125,0.28569184030805317,-9999,-807
260,37.84726333618164,1368,0.217771515250206,4259,0.4135873438948292,121.46666666666668,257352.25,32347.25,0.25223541259765625,1,-807
261,55.764705657958984,2194.1,0.14999419450759888,4456.916666666667,0.04769986763052108,62.184065934065934,60517.06329113924,294603.84375,1.7972361805674797,2,4
262,-9999,1973,-9999,333,0,109.75,1249.932477678571,186.6522979736328,0.04439146320025126,-9999,-9999
263,39.26229476928711,1254,0.2863525450229645,4323,1.2265096028645834,101.5625,173426,55526.1171875,1.2166404724121094,-9999,-807
264,41.514286041259766,1388.2,0.31980346043904623,4153.166666666667,0.00632107540329485,46.414438502673796,148288.0761904762,3675.34228515625,0.5061105330360127,-9999,5
265,55.764705657958984,2214,0.08030274510383606,3851,0.07130051510674613,12.375,83259.55357142857,10732.97265625,1.232194423675537,2,4
266,34.9431266784668,2308.8,0.42543227331978933,4427.3,0,151.83333333333334,157811.50788643534,26538.974609375,3.6582740045362905,2,2
267,12.617053985595703,844.2222222222222,0.2340670903523763,2538.4444444444443,0.00645997263965236,50.315363881401616,100528.26031746031,50374.6640625,0.15897929764822166,2,5
268,47.402366638183594,1689,0.05232525244355202,4223,0.7923500696818034,23.533333333333335,125934,77783.125,2.647167460123698,2,3
269,37.324806213378906,1738.7,0.291270383199056,4116.5,0,270.92225201072387,116636.05111821086,6393.369140625,4.7755496763991285,2,-809
270,58.0782585144043,2524,0.07472863793373108,2224,10.798030308314733,0,1409.2879083806818,162725.09375,0,2,-807
271,12.522293090820313,1128.1666666666667,0.17094224294026691,2744.909090909091,0,87.424,107259.9493670886,56935.17578125,2.7431637369791666,2,4
272,40.57988357543945,1338,0.15413305163383484,4045,17.468526905980603,0,61131.53409090909,305521.125,0.7966591119766235,-9999,-807
273,47.402366638183594,1726,0.03492193669080734,3532,1.0156012217203776,0.06666666666666667,160184.42307692306,45723.65625,1.4391647338867188,2,-807
274,40.57988357543945,1429,0.3681936264038086,4671.4,0.01047097485081679,28.956639566395665,68475.06962025317,30364.63671875,1.0298316355966295,-9999,-801
275,55.764705657958984,2090.7,0.14988694872174943,3944.1,0,91.96730245231608,68358.98089171975,4669.6875,1.59371806880109,2,-801
276,26.9865779876709,1590.1666666666667,0.32505570139203754,3695.5,0,228.91803278688525,143792,1538.593994140625,2.6696597240010247,5,3
277,35.914833068847656,1501.3333333333333,0.33676967620849607,4542.272727272727,0,216.38524590163937,284763.6549520767,8647.51171875,0.253737110909217,1,5
278,12.522293090820313,1015.6666666666666,0.15425981794084823,2847.1111111111113,0,44.64784946236559,86822.80769230769,41770.734375,2.6865071942729335,2,4
279,40.91843032836914,1406,0.4084007441997528,4385.555555555556,0.00357353087185191,44.10752688172043,86549.94871794872,15631.037109375,1.945830806609123,-9999,-801
281,58.0782585144043,2022.5,0.23617475827534992,4361.75,0.01231960110042406,38.20810810810811,23372.41904761905,11251.1923828125,0.39737416860219593,2,4
282,58.0782585144043,2643,0.0799097865819931,1466,14.83443263319672,0,3231.9508928571427,236363.546875,0,2,-807
283,58.0782585144043,2524,0.07472863793373108,2224,9.95134980799788,0,1482.2100694444443,126762.6953125,0,2,-807
284,35.914833068847656,1499.909090909091,0.33542229334513346,4488.1,0,243.0461956521739,300127.13099041535,4043.434814453125,0.7272374526314114,1,5
286,37.95486831665039,1560,0.21287795901298523,3652,0.4257336344037737,1.1333333333333333,143257.06818181818,43594.52734375,0.4858967463175456,1,-807
287,35.692527770996094,1366.4,0.31504815419514975,4353.555555555556,0,123.71657754010695,201775.6835443038,4471.0732421875,0.15986698579023229,1,5
288,42.581581115722656,2157.2,0.13270978416715348,3977.3,0,55.39945652173913,205080.7111111111,29078.505859375,3.0516984359077783,2,3
289,11.393665313720703,823,0.18321184813976288,2438,0.10589276590654928,14.066666666666666,150024.17307692306,6262.39697265625,3.695917256673177,2,2
291,46.51420593261719,1706.6,0.25985213688441683,4428.666666666667,0.00749441463014353,80.38172043010752,25184.973101265823,3145.11279296875,0.25667229519095475,-9999,5
292,57.6485710144043,2643,0.0799097865819931,2810,8.684280654131356,0,3063.9170673076924,98541.7734375,0,2,-807
293,35.7159423828125,1261,0.13904230296611786,2429,20.32320556640625,0,62830.875,306485.25,0.5712121214185443,-9999,-807
