event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CAO23394,2025-01-20,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Gouzoudou,11.1106,14.0389,1,ARDHU,National,"Looting: On 20 January 2025, an armed group, described as 'Boko Haram' (coded as Boko Haram (JAS) based on the militant activity in Mayo-Sava) looted livestock at Gouzoudou (Kolofata, Mayo-Sava, Extreme-Nord).",0,,1776726726
CAO23415,2025-01-20,2025,2,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Cameroon)",,"Political militia","Civilians (Cameroon)",,Civilians,"Political militia-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Tsanaga,Soulede-Roua,Mbalda,10.7215,14.0318,2,ARDHU,National,"Around 20 January 2025, an unidentified armed group killed one male and left his body at Soulede, coded to a nearby location Mbalda (Soulede-Roua, Mayo-Tsanaga, Extreme-Nord).",1,,1774910586
CAO20903,2025-01-21,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Ambazonian Separatists (Cameroon)",,"Rebel group","Civilians (Cameroon)","Christian Group (Cameroon)",Civilians,"Rebel group-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Nord-Ouest,Mezam,"Bamenda 3","Bamenda - Njah",5.9793,10.1906,1,"Local Network",Other,"On 21 January 2025, Ambazonian Separatists abducted a clergyman from a church in Mulang, also known as Bamenda - Njah (Mezam, Nord-Ouest).",0,,1765923135
CAO20904,2025-01-21,2025,1,"Political violence",Riots,"Mob violence","Rioters (Cameroon)","Taxi Drivers (Cameroon)",Rioters,"Civilians (Cameroon)","Labor Group (Cameroon)",Civilians,Rioters-Civilians,"Civilian targeting",120,"Middle Africa",Cameroon,Sud-Ouest,Fako,Buea,"Small Sopo",4.1345,9.2479,1,"Local Network",Other,"On 21 January 2025, commercial taxi motorcycle riders attacked and injured 2 municipal council workers along Mermoz-Small Sopo Road in Small Sopo (Fako, Sud-Ouest) after the workers attempted to confiscate their motorcycles.",0,"crowd size=no report; local administrators",1765923135
CAO20905,2025-01-21,2025,1,"Political violence","Violence against civilians",Attack,"Ambazonian Separatists (Cameroon)","Ambazonian Separatists (Cameroon) Restoration Forces","Rebel group","Civilians (Cameroon)","Taxi Drivers (Cameroon)",Civilians,"Rebel group-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Sud-Ouest,Ndian,Toko,"Ikoti I",5.0468,9.1121,1,"Local Network",Other,"On 21 January 2025, Ambazonian Separatists from the Restoration Forces faction beat and injured 4 commercial taxi motorcycle riders at an illegal checkpoint in Ikoti I (Ndian, Sud-Ouest), accusing them of collaborating with the military forces. The Separatists stole their motorbikes.",0,,1765923135
CAO20906,2025-01-21,2025,1,"Political violence",Battles,"Armed clash","Ambazonian Separatists (Cameroon)",,"Rebel group","Military Forces of Cameroon (1982-) Gendarmerie",,"State forces","State forces-Rebel group",,120,"Middle Africa",Cameroon,Nord-Ouest,Mezam,"Bamenda 3","Bamenda - Nkwen",5.9951,10.1937,1,"Local Network",Other,"On 21 January 2025, Ambazonian Separatists clashed with the gendarmerie forces at a technical secondary school in Bamenda - Nkwen (Mezam, Nord-Ouest). There were no fatalities. 1 gendarme was injured.",0,,1768269667
CAO20907,2025-01-21,2025,1,"Political violence",Battles,"Armed clash","Ambazonian Separatists (Cameroon)","Ambazonian Separatists (Cameroon) Restoration Forces","Rebel group","Police Forces of Cameroon (1982-)",,"State forces","State forces-Rebel group",,120,"Middle Africa",Cameroon,Sud-Ouest,Fako,Muyuka,Lilale,4.4019,9.2987,2,"Local Network",Other,"On 21 January 2025, Ambazonian Separatists from the Restoration Forces faction clashed with the police forces along the Bafia- Munyenge road, coded to a known middle point between the two locations, Lilale (Fako, Sud-Ouest). There were no fatalities. 1 police officer was injured.",0,,1765923135
CAO20908,2025-01-21,2025,1,"Political violence","Violence against civilians",Attack,"Buea Communal Militia (Cameroon)",,"Identity militia","Civilians (Cameroon)",,Civilians,"Identity militia-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Sud-Ouest,Fako,Buea,Dibanda,4.1273,9.3056,2,"Local Network",Other,"On 21 January 2025, members of a community vigilante group beat and injured 2 people impersonating as Ambazonian Separatists along the Buea-Mutengene road, coded to a known middle point between the two locations, Dibanda (Fako, South-West), before handing them over to military forces.",0,,1765923135
CAO20909,2025-01-21,2025,1,"Strategic developments","Strategic developments",Other,"Military Forces of Cameroon (1982-)","Dumbo Communal Militia (Cameroon)","State forces",,,,"State forces only",,120,"Middle Africa",Cameroon,Nord-Ouest,Donga-Mantung,Misaje,Dumbo,6.7026,10.5116,1,"Local Network",Other,"Other: On 21 January 2025, military forces and local militia members fired sporadic shots in Dumbo (Donga-Mantung, Nord-Ouest), after suspecting the presence of Ambazonian Separatists in the area. The Separatists did not return fire.",0,,1765923135
CAO20910,2025-01-21,2025,1,"Political violence",Battles,"Armed clash","Ambazonian Separatists (Cameroon)",,"Rebel group","Military Forces of Cameroon (1982-)",,"State forces","State forces-Rebel group",,120,"Middle Africa",Cameroon,Nord-Ouest,Donga-Mantung,Ndu,Ntabah,6.3435,10.9499,1,"Local Network",Other,"On 21 January 2025, Ambazonian Separatists clashed with military forces escorting a government official's convoy along a secondary road in Ntabah (Donga-Mantung, Nord-Ouest). There were no fatalities. 1 soldier was injured.",0,,1765923135
