matrice,de,vers,de_lon,de_lat,vers_lon,vers_lat
contiguite_queen,13,55,8.676016673380985,4.6670571766311335,9.011017531939366,4.677031900210192
contiguite_queen,13,137,8.676016673380985,4.6670571766311335,8.984392861361295,5.0840794528778455
contiguite_queen,14,15,10.018311143143732,5.877229610034149,10.114981500968902,5.971401782545947
contiguite_queen,14,27,10.018311143143732,5.877229610034149,9.813413388280042,5.8568690659714875
contiguite_queen,14,118,10.018311143143732,5.877229610034149,9.910147086353367,6.014095252228507
contiguite_queen,14,182,10.018311143143732,5.877229610034149,10.16251607422932,5.816186350929746
contiguite_queen,15,11,10.114981500968902,5.971401782545947,10.070028607523378,6.148999260113437
contiguite_queen,15,14,10.114981500968902,5.971401782545947,10.018311143143732,5.877229610034149
contiguite_queen,15,16,10.114981500968902,5.971401782545947,10.200103427925507,5.980873757841358
contiguite_queen,15,118,10.114981500968902,5.971401782545947,9.910147086353367,6.014095252228507
contiguite_queen,15,182,10.114981500968902,5.971401782545947,10.16251607422932,5.816186350929746
contiguite_queen,16,11,10.200103427925507,5.980873757841358,10.070028607523378,6.148999260113437
contiguite_queen,16,15,10.200103427925507,5.980873757841358,10.114981500968902,5.971401782545947
contiguite_queen,16,182,10.200103427925507,5.980873757841358,10.16251607422932,5.816186350929746
contiguite_queen,16,192,10.200103427925507,5.980873757841358,10.279943498532903,6.028026557985204
contiguite_queen,17,12,10.315765695645016,5.383433473971641,10.349095116864675,5.271180173838332
contiguite_queen,17,18,10.315765695645016,5.383433473971641,10.229894528395373,5.262037363016125
contiguite_queen,17,19,10.315765695645016,5.383433473971641,10.470141824645795,5.3375810387559115
contiguite_queen,17,127,10.315765695645016,5.383433473971641,10.443602124878293,5.517118542745777
contiguite_queen,17,173,10.315765695645016,5.383433473971641,10.23285308322495,5.441660974715963
contiguite_queen,18,9,10.229894528395373,5.262037363016125,10.207233112145365,5.111968117654936
contiguite_queen,18,12,10.229894528395373,5.262037363016125,10.349095116864675,5.271180173838332
contiguite_queen,18,17,10.229894528395373,5.262037363016125,10.315765695645016,5.383433473971641
contiguite_queen,18,50,10.229894528395373,5.262037363016125,10.057569639178821,5.448037951111124
contiguite_queen,18,82,10.229894528395373,5.262037363016125,10.066378454074501,5.148842771604446
contiguite_queen,18,173,10.229894528395373,5.262037363016125,10.23285308322495,5.441660974715963
contiguite_queen,19,12,10.470141824645795,5.3375810387559115,10.349095116864675,5.271180173838332
contiguite_queen,19,17,10.470141824645795,5.3375810387559115,10.315765695645016,5.383433473971641
contiguite_queen,19,20,10.470141824645795,5.3375810387559115,10.578551384611073,5.064096825334996
contiguite_queen,19,65,10.470141824645795,5.3375810387559115,10.660163380802079,5.401348773025517
contiguite_queen,19,127,10.470141824645795,5.3375810387559115,10.443602124878293,5.517118542745777
contiguite_queen,20,9,10.578551384611073,5.064096825334996,10.207233112145365,5.111968117654936
contiguite_queen,20,12,10.578551384611073,5.064096825334996,10.349095116864675,5.271180173838332
contiguite_queen,20,19,10.578551384611073,5.064096825334996,10.470141824645795,5.3375810387559115
contiguite_queen,20,65,10.578551384611073,5.064096825334996,10.660163380802079,5.401348773025517
contiguite_queen,20,111,10.578551384611073,5.064096825334996,10.923140835702913,5.294956940821281
contiguite_queen,20,143,10.578551384611073,5.064096825334996,10.711982803037262,4.711626301837581
contiguite_queen,20,163,10.578551384611073,5.064096825334996,10.304349823400868,4.815027064169403
contiguite_queen,21,85,9.731828167941632,5.078396669422873,9.426937665699358,4.956162749640458
contiguite_queen,21,106,9.731828167941632,5.078396669422873,9.788310334824631,4.871631798163739
