x,y,densite,bandwidth,sigma_m,sous_population
-119383.07112024784,472155.6174787935,0.005816056695513243,petit,35770.82265737722,tous
-119383.07112024784,482682.3048268488,0.004840111998216392,petit,35770.82265737722,tous
-119383.07112024784,493208.9921749041,0.003965310951447602,petit,35770.82265737722,tous
-119383.07112024784,503735.67952295934,0.0032342978376324696,petit,35770.82265737722,tous
-119383.07112024784,514262.3668710146,0.0026486348482218495,petit,35770.82265737722,tous
-119383.07112024784,524789.0542190699,0.0021825365120689347,petit,35770.82265737722,tous
-119383.07112024784,535315.7415671252,0.0018016454357006964,petit,35770.82265737722,tous
-119383.07112024784,545842.4289151805,0.0014782629596671668,petit,35770.82265737722,tous
-119383.07112024784,556369.1162632357,0.0011976457589570261,petit,35770.82265737722,tous
-119383.07112024784,566895.803611291,9.558671021329607e-4,petit,35770.82265737722,tous
-119383.07112024784,577422.4909593463,7.537635891290361e-4,petit,35770.82265737722,tous
-119383.07112024784,587949.1783074015,5.916266405980868e-4,petit,35770.82265737722,tous
-119383.07112024784,598475.8656554568,4.668613595119683e-4,petit,35770.82265737722,tous
-119383.07112024784,609002.5530035121,3.7427928856829576e-4,petit,35770.82265737722,tous
-119383.07112024784,619529.2403515674,3.075092766208677e-4,petit,35770.82265737722,tous
-119383.07112024784,630055.9276996227,2.602280729818981e-4,petit,35770.82265737722,tous
-119383.07112024784,640582.6150476779,2.2674228533678373e-4,petit,35770.82265737722,tous
-119383.07112024784,651109.3023957332,2.021194321385089e-4,petit,35770.82265737722,tous
-119383.07112024784,661635.9897437885,1.82242728202597e-4,petit,35770.82265737722,tous
-119383.07112024784,672162.6770918437,1.6397384116659795e-4,petit,35770.82265737722,tous
-119383.07112024784,682689.364439899,1.453527069321545e-4,petit,35770.82265737722,tous
-119383.07112024784,693216.0517879543,1.2565755138267435e-4,petit,35770.82265737722,tous
-112256.5789752465,440575.5554346277,0.008722926687534075,petit,35770.82265737722,tous
-112256.5789752465,451102.242782683,0.008147787071550004,petit,35770.82265737722,tous
-112256.5789752465,461628.93013073824,0.0072757585877704254,petit,35770.82265737722,tous
-112256.5789752465,472155.6174787935,0.006256677303125283,petit,35770.82265737722,tous
-112256.5789752465,482682.3048268488,0.005230613043033603,petit,35770.82265737722,tous
-112256.5789752465,493208.9921749041,0.004302282034966235,petit,35770.82265737722,tous
-112256.5789752465,503735.67952295934,0.0035270456959967294,petit,35770.82265737722,tous
-112256.5789752465,514262.3668710146,0.002911737914735095,petit,35770.82265737722,tous
-112256.5789752465,524789.0542190699,0.0024293316085740105,petit,35770.82265737722,tous
-112256.5789752465,535315.7415671252,0.0020403733091259,petit,35770.82265737722,tous
-112256.5789752465,545842.4289151805,0.00171130669472815,petit,35770.82265737722,tous
-112256.5789752465,556369.1162632357,0.0014230475049005617,petit,35770.82265737722,tous
-112256.5789752465,566895.803611291,0.0011697320016970814,petit,35770.82265737722,tous
-112256.5789752465,577422.4909593463,9.523645302265449e-4,petit,35770.82265737722,tous
-112256.5789752465,587949.1783074015,7.726327884654225e-4,petit,35770.82265737722,tous
-112256.5789752465,598475.8656554568,6.296810652688654e-4,petit,35770.82265737722,tous
-112256.5789752465,609002.5530035121,5.198032201953289e-4,petit,35770.82265737722,tous
-112256.5789752465,619529.2403515674,4.375676156943424e-4,petit,35770.82265737722,tous
-112256.5789752465,630055.9276996227,3.769733118266298e-4,petit,35770.82265737722,tous
-112256.5789752465,640582.6150476779,3.320809644418242e-4,petit,35770.82265737722,tous
-112256.5789752465,651109.3023957332,2.972965468985599e-4,petit,35770.82265737722,tous
-112256.5789752465,661635.9897437885,2.6768199131174333e-4,petit,35770.82265737722,tous
