DHSCLUST,region_eds,milieu,lat,lon,n_menages,poids_total,tx_eau_amelioree,tx_electricite,taille_moy_menage,Travel_Times_2015,Nightlights_Composite,Aridity_2015,Malaria_Prevalence_2015,All_Population_Count_2015
60,SUD-OUEST,U,4.030813,9.200917,27,21.965229,92.59259259259258,100,3.444444444444444,3.2,1.4576548258463542,62.77460479736328,0.1705780327320099,48101.28125
61,EST,U,4.558363,13.691008,28,44.677668,100,100,5.5357142857142865,1.6875,1.3234935559724506,36.56145095825195,0.23917677998542783,23537.376953125
62,OUEST,R,5.495849,10.137708,26,16.616132,96.15384615384615,96.15384615384615,4.961538461538462,12.497267759562842,0.02553053941771882,47.402366638183594,0.06610717943736485,192696.96875
63,NORD-OUEST,U,5.967571,10.166249,26,15.359759999999998,100,96.15384615384616,3.9230769230769234,0,2.1660947297748767,42.5,0.04430526122450828,56023.7109375
64,EST,R,2.621281,16.066787,28,15.274028000000001,67.85714285714285,100,6.499999999999999,673.9919786096257,0.03195814723553865,37.98904037475586,0.3322474797566732,3693.95556640625
65,YAOUNDE,U,3.863223,11.510405,28,30.210544,100,100,4.357142857142857,0,31.639982096354167,35.7159423828125,0.13904230296611786,281926.9375
66,SUD-OUEST,U,4.018115,9.213397,27,37.562805000000004,100,100,4.2592592592592595,4.071428571428571,1.7530249902757549,62.77460479736328,0.1721256971359253,37445.49609375
67,OUEST,U,5.729717,10.880422,28,30.77284,100,100,5.785714285714286,0.07142857142857142,0.8980968080717942,40.27055740356445,0.09945366531610488,1587.534912109375
68,EXTREME-NORD,R,10.269892,15.314019,28,56.788788,50,0,5.428571428571429,23.952,0.05285432034690908,13.736089706420898,0.17234142010028547,129227.796875
69,LITTORAL,R,4.387741,9.590052,27,21.250890000000002,51.851851851851855,85.18518518518519,4.481481481481482,59.36729222520107,0.00663422087385011,58.0782585144043,0.24309509141104563,8617.92578125
70,SUD-OUEST,U,4.63092,9.445619,26,14.655238,100,100,2.9615384615384612,0,2.9268946154364226,59.2621955871582,0.08812224864959717,162013.03125
71,OUEST,R,5.424928,9.993681,27,27.018549000000004,85.18518518518518,88.88888888888889,4.777777777777778,13.25,0.05121714308524987,51.96783447265625,0.06925627163478307,220402.0625
72,YAOUNDE,U,3.907015,11.53483,28,52.037272,92.85714285714286,96.42857142857142,6.5,0,13.83207259639617,35.7159423828125,0.14466910064220428,35173.54296875
73,ADAMAOUA,R,7.217011,13.377281,27,18.632673,22.22222222222222,0,6,42.07608695652174,0,35.942501068115234,0.26924136706760954,329.05230712890625
74,ADAMAOUA,U,7.342041,13.581633,28,13.750436,82.14285714285714,100,5.321428571428571,0.375,4.1980919673525054,36.7579460144043,0.1704142987728119,46596.5
75,OUEST,U,5.506991,10.626994,28,43.104964,100,92.85714285714285,6.642857142857143,0.21428571428571427,0.3993582491014824,40.63114929199219,0.08446985483169556,32126.384765625
77,SUD-OUEST,U,4.081024,9.311226,27,25.176258,100.00000000000001,96.29629629629629,3.555555555555556,5.5,0.561150785352363,62.77460479736328,0.18468214571475983,2277.9765625
78,OUEST,R,5.159678,10.19175,28,30.671088,96.42857142857142,100,4.571428571428571,40.69945355191257,0.06248999126886917,47.402366638183594,0.08241363366444905,141641.03125
79,ADAMAOUA,R,6.89861,14.116911,28,13.875148,46.42857142857143,0,6.607142857142857,50.54032258064516,0.00165138292794275,37.95486831665039,0.29255104064941406,1008.2794799804688
80,OUEST,R,5.514035,11.109744,28,45.943884,17.857142857142858,0,6.5,63.88709677419355,0,36.47013092041016,0.3001224398612976,24793.490234375
81,EXTREME-NORD,R,12.370664,14.306798,28,21.813512,100,0,5.92857142857143,27.344736842105263,0,7.587904453277588,0.19220709800720215,28093.8125
82,YAOUNDE,U,3.932079,11.495208,28,52.697792,100,96.42857142857143,5.678571428571429,7.733333333333333,3.9988310215836864,40.57988357543945,0.26350444555282593,18566.609375
83,SUD,R,2.849471,12.133115,28,10.753708,78.57142857142857,50,7.142857142857142,160.23835616438356,0.00457080194461581,36.880126953125,0.4355817159016927,2373.183349609375
84,NORD,R,8.974587,14.007306,28,32.452867999999995,14.285714285714286,21.42857142857143,6.321428571428572,105.41239892183287,6.6568141031746e-4,18.758621215820313,0.28416531880696616,2445.12158203125
85,ADAMAOUA,R,6.821946,12.173967,28,3.074092,85.71428571428571,0,4.571428571428571,213.12600536193028,0,36.88916778564453,0.4004964828491211,3820.726318359375
86,EST,R,4.066,13.808248,28,9.268139999999999,7.142857142857143,0,6.142857142857143,145.02459016393442,0,37.5639533996582,0.41828028361002606,1463.4326171875
