dhsclust,region_eds,milieu,lon,lat,n_menages,poids_total,tx_eau_amelioree,tx_electricite,taille_moy
185,OUEST,U,10.425636,5.487675,28,28.606172,100,100,4.571428571428571
186,SUD,R,10.892616,3.212389,28,13.912948,46.42857142857143,0,6.714285714285714
187,ADAMAOUA,U,14.292898,6.513643,28,47.899544,92.85714285714286,92.85714285714286,3.8214285714285716
188,DOUALA,U,9.729337,4.038161,26,31.722469999999998,96.15384615384615,100,3.730769230769231
189,SUD,U,9.93505,2.9577,26,37.718616,96.15384615384616,100,3.8076923076923075
190,EXTREME-NORD,U,14.333872,10.593659,27,46.7478,100,70.37037037037037,4.111111111111112
191,DOUALA,U,9.7155,4.060291,28,24.694768,100,100,4.178571428571429
192,YAOUNDE,U,11.515784,3.912175,27,28.012985999999998,100,100,5.000000000000001
193,ADAMAOUA,U,13.570785,7.304363,28,15.832180000000001,92.85714285714286,96.42857142857143,4.392857142857143
194,SUD,U,11.153523,2.924169,28,25.215652,96.42857142857144,96.42857142857144,5.642857142857143
195,OUEST,R,10.153263,5.102806,27,16.700148,77.77777777777779,96.29629629629629,4.777777777777778
196,YAOUNDE,U,11.530946,3.791208,28,46.228280000000005,96.42857142857143,100,4.357142857142857
197,YAOUNDE,U,11.544563,3.90454,27,28.311444,100,96.2962962962963,4.185185185185185
199,OUEST,R,10.798379,5.689031,28,48.780648,85.71428571428572,96.42857142857143,7.392857142857144
200,EST,R,14.404377,6.04925,26,21.917298,65.38461538461539,0,4.423076923076923
201,NORD,U,12.886105,9.051264,28,33.708388,92.85714285714285,3.571428571428571,6.749999999999999
202,DOUALA,U,9.762829,4.06244,27,21.066885,99.99999999999999,99.99999999999999,5.740740740740741
203,NORD,R,13.577346,8.521785,18,0.458028,61.111111111111114,11.11111111111111,6.222222222222222
204,LITTORAL,U,9.753882,4.721238,28,12.221468,100,100,4
205,NORD-OUEST,R,10.481198,6.224822,28,9.0153,82.14285714285715,75,4.821428571428571
206,EST,U,14.345481,4.444582,28,17.847004,96.42857142857143,75.00000000000001,4.25
208,NORD-OUEST,R,10.14991,5.88523,28,45.400208000000006,99.99999999999999,92.85714285714286,4.857142857142857
209,NORD,R,13.803418,9.592743,25,35.878975000000004,8,11.999999999999998,5.88
210,OUEST,R,10.008739,5.266663,27,40.217256,40.74074074074074,74.07407407407408,4.481481481481482
211,CENTRE,U,11.580446,3.980686,28,11.304888,96.42857142857143,92.85714285714286,1.8214285714285714
212,EXTREME-NORD,R,14.457951,10.802513,28,45.228904,82.14285714285715,0,5.142857142857143
213,YAOUNDE,U,11.492349,3.840818,27,25.603749,100.00000000000001,100.00000000000001,3.6296296296296293
214,YAOUNDE,U,11.493676,3.892234,28,45.277288,96.42857142857143,100,5.571428571428571
215,EXTREME-NORD,R,15.005342,11.228243,26,12.640524,100.00000000000001,0,5.384615384615384
216,NORD,R,13.645008,9.389191,28,47.995164,53.57142857142857,17.857142857142858,7.357142857142857
217,EXTREME-NORD,R,14.936906,12.008758,28,93.505244,100,0,5.428571428571428
218,SUD-OUEST,U,9.210987,4.008819,28,17.266227999999998,100,92.85714285714286,3.2857142857142856
219,EXTREME-NORD,R,14.567903,12.350074,28,82.609408,100,0,5.678571428571429
221,SUD,R,10.159126,2.683214,28,9.801791999999999,100,89.28571428571429,4.321428571428571
222,NORD-OUEST,U,10.186738,5.973862,24,33.466464,95.83333333333334,100,3.5833333333333335
