id,admin2Pcod,ntl_mean,population,ndvi_mean,precip_2018,no2,lc_13_urbain,lc_12_cultures,lc_8_savane_boisee,lc_11_zones_humides
9964,BJ0101,0.2146992334554147,625.8162231445312,4325.2529954216325,996.2,4.9781805442807255e-05,0.0,0.0,0.0,1.0
9965,BJ0101,0.2722520594119175,254.55812072753903,4611.553767629063,1001.0,4.996098244542532e-05,0.0,0.0,0.0,1.0
9967,BJ0101,0.2249145831337574,266.2367858886719,4568.787940016555,1006.3333333333331,4.995858488560711e-05,0.0,0.0,0.0,1.0
10202,BJ0101,0.2187257797434673,954.6136474609376,3892.333257540077,898.2285714285715,5.272249028398511e-05,0.0,0.0,0.0,1.0
10204,BJ0101,0.2140750272815955,698.6383666992188,3963.208970132043,906.3904761904764,5.269946871388528e-05,0.0,0.0,0.0,1.0
10205,BJ0101,0.2141473520823786,1042.3876953125,3806.6950192317054,911.847619047619,5.224433059817552e-05,0.0,0.0,0.0,1.0
10206,BJ0101,0.2166143762550707,1283.836181640625,3643.9871449221214,928.0,5.173722563524895e-05,0.0,0.0,0.0,1.0
10207,BJ0101,0.2159929967708456,1113.18212890625,3678.0128469571714,934.448,5.167693215060792e-05,0.0,0.0,0.0,1.0
10208,BJ0101,0.2142295776890001,1134.1986083984375,3675.7660716241376,941.0,5.156018032442709e-05,0.0,0.0,0.0,1.0
10209,BJ0101,0.213465343559966,678.1838989257812,3848.842460304576,944.2692307692308,5.144057525152312e-05,0.0,0.0,0.0,1.0
10210,BJ0101,0.2107302809630115,834.405517578125,3896.700857546573,947.846153846154,5.1352294092230046e-05,0.0,0.0,0.0,1.0
10211,BJ0101,0.2167513650804131,881.23193359375,4058.971888495633,953.128,5.107584752264922e-05,0.0,0.0,0.0,1.0
10212,BJ0101,0.2123281497509653,883.7188720703125,4093.935788449059,957.2,5.0780162632228856e-05,0.0,0.0,0.0,1.0
10213,BJ0101,0.2139638659659462,962.1898803710936,4024.2338822193383,962.3173076923078,5.023531855556026e-05,0.0,0.0,0.0,1.0
10214,BJ0101,0.2227539529032721,623.8294067382812,4260.645352519855,970.2666666666668,5.003506477955094e-05,0.0,0.0,0.0,1.0
10215,BJ0101,0.2278462849502165,1071.1815185546875,4130.278572704681,974.1650485436896,5.007766421130175e-05,0.0,0.0,0.0,1.0
10216,BJ0101,0.2185516023281728,823.5258178710938,4257.242424980119,977.736,5.045204410550836e-05,0.0,0.0,0.0,1.0
10217,BJ0101,0.2102781986368329,865.5985107421875,4289.239065566061,983.114285714286,5.04098080308405e-05,0.0,0.0,0.0,1.0
10218,BJ0101,0.2159180364668073,677.0242309570312,4219.522169527862,988.8571428571428,5.017799817182187e-05,0.0,0.0,0.0,1.0
10219,BJ0101,0.2143994940324999,377.5956115722656,4386.109776109703,992.8190476190476,4.9907291896604417e-05,0.0,0.0,0.0,1.0
10221,BJ0101,0.216645956535762,305.5627746582031,4534.704902867716,1002.9038461538462,5.005625507727734e-05,0.0,0.0,0.0,1.0
10448,BJ0101,0.2168114454456565,328.8464050292969,4635.175968349905,888.32,5.34178990603091e-05,0.0,0.0,0.0,1.0
10450,BJ0101,0.2230394897709126,684.2825317382812,3971.4369995614825,898.4095238095239,5.3415091708128e-05,0.0,0.0,0.0,1.0
10452,BJ0101,0.2153723280380872,1041.4505615234375,3783.3559061896017,906.809523809524,5.2974330897325184e-05,0.0,0.0,0.0,1.0
10454,BJ0101,0.2132283529614933,1388.5662841796875,3732.761315870621,912.409523809524,5.277685297241792e-05,0.0,0.0,0.0,1.0
10456,BJ0101,0.2154236456063826,1293.31591796875,3665.555098991408,927.5904761904762,5.230917813545561e-05,0.0,0.0,0.0,1.0
10458,BJ0101,0.2358805433828265,1343.01611328125,3755.2436374267113,934.2936507936508,5.1911184530680224e-05,0.0,0.0,0.0,1.0
10459,BJ0101,0.2214521459873194,815.9555053710938,3753.2158546004566,941.0,5.159704338077975e-05,0.0,0.0,0.0,1.0
10460,BJ0101,0.2103391286191311,828.7175903320312,3935.514406017884,944.4134615384615,5.181010978948655e-05,0.0,0.0,0.0,1.0
10461,BJ0101,0.2191078408119975,1243.8763427734375,4027.308279716645,947.3076923076924,5.140586572424234e-05,0.0,0.0,0.0,1.0
10462,BJ0101,0.2295764119521755,821.4959716796875,4212.05041593553,951.7619047619048,5.090486064095551e-05,0.0,0.0,0.0,1.0
10463,BJ0101,0.2230162997236263,498.6184997558594,4183.5547900741685,957.4190476190475,5.066440535833628e-05,0.0,0.0,0.0,1.0
10464,BJ0101,0.2146279593378025,853.0473022460938,4162.300915331809,961.271844660194,5.048281002651706e-05,0.0,0.0,0.0,1.0
10465,BJ0101,0.2153723691064624,728.3001708984375,4207.9033554757925,967.0666666666666,5.0301543860185455e-05,0.0,0.0,0.0,1.0
10466,BJ0101,0.2238231237374699,834.3764038085938,4198.724137091276,972.7333333333332,5.035933838578216e-05,0.0,0.0,0.0,1.0
10467,BJ0101,0.2205608193737422,838.1253662109375,4230.790942434718,976.84,5.039288370772472e-05,0.0,0.0,0.0,1.0
10468,BJ0101,0.2159927674034522,576.8211669921875,4207.977668500576,982.1428571428572,5.029114630632785e-05,0.0,0.0,0.0,1.0
10469,BJ0101,0.2119063326954675,572.72509765625,4244.490145902386,988.4285714285712,5.000155703488208e-05,0.0,0.0,0.0,1.0
10471,BJ0101,0.2199017060391724,555.6952514648438,4414.767807239878,992.7714285714286,5.005632066640533e-05,0.0,0.0,0.0,1.0
10710,BJ0101,0.2319241696332181,187.9288024902344,4269.046581529863,907.4,5.299069478753598e-05,0.0,0.0,0.0,1.0
10713,BJ0101,0.2262261102647937,1693.480712890625,3742.529921745625,927.0,5.234213330158045e-05,0.0,0.0,0.0,1.0
10715,BJ0101,0.2192649920031474,826.4452514648436,3788.443252505239,934.0,5.209205765016796e-05,0.0,0.0,0.0,1.0
10717,BJ0101,0.2282323388855947,949.3545532226561,3966.1621386954894,941.0,5.1662636453977744e-05,0.0,0.0,0.0,1.0
10718,BJ0101,0.2143173055894284,1220.6790771484375,4057.126251443213,945.0,5.158886130387701e-05,0.0,0.0,0.0,1.0
10719,BJ0101,0.2146940866045863,1087.101806640625,4119.440634218289,947.0,5.115540392402916e-05,0.0,0.0,0.0,1.0
10720,BJ0101,0.2200527912726196,772.6314697265625,4242.127347761098,950.0,5.071936727747792e-05,0.0,0.0,0.0,1.0
10721,BJ0101,0.2362383720662803,637.0111694335938,4066.7260285092702,958.0,5.062914052475539e-05,0.0,0.0,0.0,1.0
10722,BJ0101,0.2194000842943684,825.0661010742188,4193.15689663567,960.0,5.064671633332622e-05,0.0,0.0,0.0,1.0
10723,BJ0101,0.2205565528462009,864.8248291015625,4319.1531480339,963.0,5.078076580027138e-05,0.0,0.0,0.0,1.0
10724,BJ0101,0.2233188813093609,698.5840454101562,4343.416714037453,971.0,5.071578031556811e-05,0.0,0.0,0.0,1.0
10726,BJ0101,0.2167091830222934,1038.1444091796875,4465.72157846049,975.6666666666664,5.077828574556069e-05,0.0,0.0,0.0,1.0
