admin2Pcod,ntl_mean_adm2,population_adm2,ndvi_mean_adm2,precip_2018_adm2,no2_adm2,lc_13_urbain_adm2,lc_12_cultures_adm2,lc_8_savane_boisee_adm2,lc_11_zones_humides_adm2
BJ0702,0.2605952700470303,325715.65093550086,5067.598878841106,1262.7470812307083,4.9135903079718736e-05,0.054729020714601,0.0022155582990464,0.3059006526727478,0.6370544629394652
BJ0703,0.2476376857329091,96384.57231140137,4488.795587253297,1267.292700501626,4.947172353174368e-05,0.0,0.0008613264427217,0.0,0.9991386735572784
BJ0704,0.270730026047921,104718.8669090271,4614.478604091738,1358.7131221672544,4.907125519972696e-05,0.0,0.0,0.0561978915179531,0.9438021084820468
BJ0901,0.354675024648584,83728.37620449066,5561.865036938881,1098.8750228860183,4.974444852216743e-05,0.71047222106388,0.0015306122448979,0.0613924533368639,0.2084883204557353
BJ0902,0.2888850710930279,137285.95356750488,4968.728770218735,1112.656377424882,4.910786229540961e-05,0.8145360922146636,0.0060185185185185,0.0017129629629629,0.1090173847316704
BJ0903,0.4084404398463855,130467.23919677734,3864.894836327458,1145.4094459203377,4.723881863038868e-05,0.3634449740407736,0.0472677301664663,0.0640009948326471,0.3165188482778043
BJ0904,0.3632835847897178,80960.1693315506,5211.911675803725,1103.956169821878,4.734083468669358e-05,0.2361432930759222,0.044867647456555,0.2804679804579547,0.0864879640891701
BJ0905,0.3611257033518421,174928.868019104,5210.162566389397,1131.7592341542295,4.8402653333992506e-05,0.7128640934172293,0.0104918890633176,0.0014071294559099,0.2545170131842605
BJ0906,0.4055164887321879,180789.9167553261,5611.896319546933,1088.5957495009625,4.9898824051569104e-05,0.7778291870977763,0.0210770975056689,0.0131759434169975,0.1697738640098652
BJ1002,0.2793633555571106,113811.1937980652,5299.527938533911,1264.99152236552,4.874397782978152e-05,0.4578642221479735,0.0134978374065675,0.311641046837067,0.2169968936083919
BJ1003,0.9311484016997348,96333.39025497437,4798.774577789411,1308.3408394267935,5.122162557154346e-05,0.1118854163491729,0.0984310552527421,0.0316176078494107,0.456841084264415
BJ1004,1.2883493571304374,245068.345703125,4677.032682751259,1335.422855018374,5.1428221039814486e-05,0.3847133712937472,0.2329260419859736,0.2970613120136022,0.0747788858968143
BJ1005,1.531345915373604,326920.8332519531,4406.536717025858,1370.1605042436254,5.1480559961637926e-05,0.3064589847037961,0.2548978020905593,0.3709098072341127,0.0325388098815569
BJ1006,0.2477530125172895,73346.39975166321,5389.283743591072,1231.1968786821149,4.9077064912634856e-05,0.1573693012164007,0.0084656084656084,0.7639099474854921,0.064699587276943
BJ1007,0.4030733021352018,180251.14724731445,5187.024538291216,1279.8534263747565,4.963477297555637e-05,0.328621148986798,0.0574484534771875,0.0447492037512695,0.5581212859506435
BJ1008,4.178443804346723,479144.3512573242,3535.812778622325,1371.284495190434,5.106036427932015e-05,0.1449789572129997,0.5324479303202707,0.066046069769474,0.1220448582150709
BJ1009,2.196383772146782,690068.125,3919.027495914049,1382.7336592924798,5.10447453650113e-05,0.2082935543249053,0.3563337339582149,0.0460430892966435,0.1463868626791749
BJ1101,0.3757256837301763,225568.4970703125,5377.121130838034,1267.4445343692826,5.139757007233145e-05,0.5790969459728782,0.0076495586793069,0.2520211038244638,0.1612323915233509
BJ1102,0.4019151237487716,199237.4533500672,5083.223434940544,1382.276477983845,5.1259788292313246e-05,0.5316692807218975,0.0314323412319928,0.3463870007056939,0.0162096272465901
BJ1103,0.2570528579988055,202684.26412677765,4978.417996100634,1305.0100735606045,5.031737194633909e-05,0.0025478364070252,0.023483893626237,0.8923648328209544,0.0692778638430725
BJ1104,0.320455227567755,163167.82495117188,5093.787876860298,1273.4234812435086,5.264109953186057e-05,0.1169508589291225,0.0155987021922683,0.6775308831230591,0.1888742595883025
BJ1105,0.293619992695512,187244.88650512687,5429.0000915737455,1336.5250265309676,5.038054854184565e-05,0.790527721881414,0.0050210699171361,0.1946254513225711,0.0062529547633186
BJ1201,0.6277976262683236,116667.11093139648,5094.45194485249,1181.085597379308,4.850035468538019e-05,0.3433354526055575,0.0949542727174295,0.0,0.5586516605072878
BJ1202,0.3072233381057954,114993.14254570007,5213.334541684288,1145.7425146477135,4.835444826936833e-05,0.24953231292517,0.0091624149659863,0.0,0.7407950680272108
BJ1203,0.7476119695364061,295579.72274780273,4950.379594386372,1184.5100268915423,4.883776251257272e-05,0.0319056464193242,0.1178531500355096,0.0,0.8494475527515153
BJ1204,0.2550266511461393,94708.5597229004,5387.345234315166,1194.7320291987494,4.953579046476974e-05,0.1140552382382476,0.0411991868900213,0.1578189552443451,0.6843408351645249
BJ1205,0.2446624314738513,188915.768042922,5307.078782485916,1169.8181016359977,4.9132512939277285e-05,0.356151856835728,0.001303062278672,0.0988668344883074,0.5298810047634763
BJ1206,0.3280532502377086,86813.74857057631,5263.356206041764,1189.67110722548,5.077299102303196e-05,0.3346787207980626,0.0,0.0841511167988081,0.5801502745907887
BJ1207,0.2979884188794626,198239.4973449707,5294.1803220365055,1175.0622050137922,4.894535510874959e-05,0.0801879159761443,0.0107799733650073,0.0086184232146965,0.9000357584947942
BJ1208,0.2606767373535384,124223.0457416922,5247.905908730531,1204.9549423755298,4.99787139997024e-05,0.0541694925828776,0.0274373638344226,0.4602018458286672,0.4407274373973478
BJ1209,0.2694245205104044,152311.368627131,5733.702943625259,1137.6875215651762,4.904757469174675e-05,0.5371559234279601,0.004236909247235,0.0466804252309804,0.394793789465756
