x,y,pop,frac_inondee
15.343749,10.252917,1.191,1
15.344583,10.252917,5.3794,1
15.345416,10.252917,6.6584,1
15.346249,10.252917,4.152,1
15.347083,10.252917,0.2591,1
15.366249,10.252917,0.1718,0
15.367083,10.252917,2.9786,0
15.327083,10.252084,0.2838,0.7742
15.327916,10.252084,0.6095,0.7751
15.328749,10.252084,0.9745,0.9853
15.329583,10.252084,2.7667,0.0874
15.330416,10.252084,3.2198,0.4078
15.331249,10.252084,1.4133,0.1237
15.332083,10.252084,0.164,0.2489
15.333749,10.252084,0.3163,0
15.334583,10.252084,0.6396,0.0958
15.335416,10.252084,3.7567,0.0305
15.336249,10.252084,5.4945,0.6682
15.337083,10.252084,4.3861,0.3841
15.337916,10.252084,2.8836,0.5631
15.338749,10.252084,3.0535,0.0605
15.339583,10.252084,7.7,0
15.340416,10.252084,9.5629,0.0133
15.341249,10.252084,7.9575,0.0177
15.342083,10.252084,5.892,0.4275
15.342916,10.252084,1.6063,1
15.343749,10.252084,2.2278,1
15.344583,10.252084,8.3589,0.438
15.345416,10.252084,12.6786,0.61
15.346249,10.252084,7.165,1
15.347083,10.252084,9.4316,1
15.367083,10.252084,0.8369,0
15.327083,10.25125,0.2914,0.6245
15.327916,10.25125,0.6229,0.2057
15.328749,10.25125,0.6266,0.10780000000000001
15.329583,10.25125,2.6999,0.0037
15.330416,10.25125,3.3182,0
15.331249,10.25125,1.1543,0
15.334583,10.25125,0.1555,0
15.335416,10.25125,3.0151,0
15.336249,10.25125,5.3932,0.1853
15.337083,10.25125,5.4027,0.0663
15.337916,10.25125,5.6987,0
15.338749,10.25125,4.7821,0
15.339583,10.25125,2.2652,0
15.340416,10.25125,7.7214,0.3078
15.341249,10.25125,8.9665,0.2293
15.342083,10.25125,7.6326,0.7424
15.342916,10.25125,1.1032,0.6071
15.343749,10.25125,1.9417,0.8791
15.344583,10.25125,8.5845,0.3777
15.345416,10.25125,9.8108,0.066
15.346249,10.25125,6.0225,0.9834
15.347083,10.25125,4.7473,1
15.327083,10.250417,0.1503,0.3645
15.327916,10.250417,0.2838,0
15.328749,10.250417,0.2884,0
15.329583,10.250417,0.7449,0
15.330416,10.250417,0.9788,0
15.331249,10.250417,0.3946,0
15.334583,10.250417,0.3331,0
15.335416,10.250417,3.5126,0
15.336249,10.250417,5.4234,0
15.337083,10.250417,5.3848,0
15.337916,10.250417,6.4922,0
15.338749,10.250417,4.9661,0
15.339583,10.250417,1.1572,0
15.340416,10.250417,7.3916,0
15.341249,10.250417,8.8828,0.0029
15.342083,10.250417,7.605,0
15.342916,10.250417,3.3487,0
15.343749,10.250417,3.4737,0.0147
15.344583,10.250417,5.0035,0.2123
15.345416,10.250417,4.9032,0.2051
15.346249,10.250417,2.3108,1
15.347083,10.250417,0.2567,1
15.349583,10.250417,7.6199,0.5147
15.322916,10.249584,1.4454,0.0013
15.323749,10.249584,5.2709,0.0713
